Id Age	Pos	Neg	Tot
 1  0.5   4   0    4
 2  1.0  11   0   11
 3  2.0   6   0    6
 4  3.0  20   2   22
 5  4.0  28   2   30
 6  5.0  55   1   56
 7  6.0  70   3   73
 8  7.0  38   5   43
 9  8.0  37   2   39
10  9.0  31   3   34
11 10.0  35   1   36
12 11.0  27   1   28
13 12.0  29   1   30
14 13.0  25   2   27
15 14.0  25   2   27
16 15.0  26   1   27
17 16.0  16   2   18
18 17.0  18   5   23
19 18.0  16   4   20
20 19.0  16   0   16
21 20.0  31   4   35
22 21.0  34  10   44
23 22.0  31  11   42
24 23.0  36   9   45
25 24.0  35   9   44
26 25.0  25   8   33
27 26.0  36  10   46
28 27.0  46  19   65
29 28.0  36   8   44
30 29.0  31  12   43
31 30.0  30  10   40
32 31.0  22  20   42
33 32.0  27  15   42
34 33.0  29  20   49
35 34.0  30  23   53
36 35.0  29  23   52
37 36.0  23  32   55
38 37.0  17  29   46
39 38.0  20  24   44
40 39.0  20  29   49
41 40.0  20  37   57
42 41.0  22  26   48
43 42.0  26  38   64
44 43.0  18  42   60
45 44.0  13  42   55
46 45.0  18  37   55
47 46.0  21  34   55
48 47.0  21  52   73
49 48.0  18  39   57
50 49.0  20  44   64
51 50.0  18  44   62
52 51.0  13  38   51
53 52.0  12  32   44
54 53.0   8  47   55
55 54.0   7  64   71
56 55.0  14  57   71
57 56.0   7  64   71
58 57.0  11  62   73
59 58.0   8  40   48
60 59.0   8  47   55
61 60.0   8  33   41
62 61.0   4  26   30
63 62.0   4  16   20
64 63.0   6  23   29
65 64.0   4  20   24
66 65.0   4  24   28
67 66.0   7  15   22
68 67.0   4  24   28
69 68.0   2  22   24
70 69.0   3  17   20
71 70.0   3  19   22
72 71.0   4  20   24
73 72.0   5   7   12
74 73.0   2  18   20
75 74.0   3  12   15
76 75.0   3  10   13
77 76.0   0  15   15
78 77.0   1  12   13
79 78.0   4   9   13
80 79.0   2  14   16
81 80.0   2  10   12
82 81.0   4  12   16
83 82.0   1   9   10
84 83.0   1   6    7
85 84.0   1   8    9
86 85.0   1   5    6
